type,typePattern
BCG,1101111101111110111111111111111111111100000
1,1101011101001110111101111111111111111100000
AN5,1101011101001110111110111111111111111100000
3,0001111000000000000000110100000000001000000
4,1110000001111000000000001111111111001101111
6,1101011101011110110111111111111111111100000
9,1101101000001110111111111111111111111100000
10,1101101000001110111111111111111011111100000
11,1101101000001110111111111111111111101100000
12,1101101000001110110111111111111111111100000
13,1101101000001110111111111111111111110100000
15,1101101000001110111111111111111000001100000
17,1101101000001110111111111000000111111100000
18,0001111000000000000000001110011111110100000
19.26,0001111000000000000000111100000000001100000
19,0001111000000000000000110100000000001100000
20,1101000000000010111111111111111111111100000
21,1101111101011110111111111111111111111100000
22,0101101000001110111111111111111111111100000
23,1101101000001110110001111111111111111100000
25,1101111101001110111111111111111111111100000
27,1111110101111111111000000000000000011101111
31,0001111000000000000000111111111111111100000
32,0001000000000000000000000000000000001100000
34,0000000000000000000000000000000000001100000
35,1100011101111110111111111111111111111100000
36,1101101000001100111111111111111101111100000
38,1111111000001100111111111111111111111100000
39,1001101000001100111111111111111111111100000
40,1101111000001100111111111111111111111100000
41,1001111000001100111111111111111111111100000
43,1101000000000000111111111111111111111100000
44,1101000000000010111110111111111111111100000
45,1101111101011100111111111111111111111100000
46,0001111000000000000000111110111111111100000
47,1101101000001110111111111111110001111100000
49,1001000000000010111111111111111111111100000
51,1101101000001110111111111111111100111100000
52,0001110000000000000000000000000000111100000
53,1101111000001100111111111111111111111101100
54,1101111101111110111101111111111111111100000
55,0100000000000000111111111110111111111100000
57,1101101000001110111111111111000000001100000
59,1101101000001110111111111111111000011100000
60,1101111000001110111111111111111111111100000
61,0001111000000000000000110000000000001000000
62,0001111000000000000000001111111111111100000
63,1101001000001110111111111111111111111100000
64,0000000000000000000000001111111111111100000
65,1100101000001110111111111111111111111100000
66,1111111011011111011101101111111100001101111
67,0000000000000000000000000000000100000000000
68,0101100000001000000100000000000100001000000
69,0101100000001000000100000001000100001000000
70,1101101000001110011111111000000111111100000
71,1101100000001000001111000000000100101000000
72,1101100000001000001111101111111100101000000
73,1101101000001110100011111111111111101100000
74,0101101000001110111111111000000111111100000
75,1101101000001110111111111111111110111100000
76,1101101000001110111111111111111111110000000
77,1100000000000110111110011111111111111100000
78,0000101000001110111111111111111000001100000
79,1101111101011110111111111110000011111100000
80,1101101000001110111111111111111101111100000
81,1101101000000110111111111000000111111100000
82,1101101000001110111001111111111111111100000
84,1100011100111000111111111111111111111100000
86,1100111101001110111111111111111111111100000
87,1100011101001110111111111111111111111100000
88,1101101000001110111111111111000001111100000
89,1101101000001110111111111101111111111100000
90,1101101000001110111111111111111111101000000
91,1101101000000010111111111111111111111100000
92,1100000101001110111111111111111111111100000
93,1101101000000000000000011111111111111100000
94,1101101000000000001111111000000111111100000
95,0001111000000000000000000000000000000000000
96,1110000001111000010000001111111111001101111
97,1101111101001110111111111100000111111100000
98,1101101000000000000111111111111111111100000
99,1101101000001110111111111000000111110100000
100,1100000000000010111111111000000111111100000
101,1101101000001110111111111111110011111100000
102,1101100000000000011111111111111111111100000
103,1101101000000110111111111111111111111100000
104,1001101000001110111111111111111111111100000
105,1101101000001110110111111000000111111100000
106,1101101000001110111110111111111000001100000
107,1101101000001110111111111000000110111100000
108,1101101000001110111111011000000111111100000
109,0000000000000000000000101111111111111100000
110,0001110000000000000000110100000000001100000
111,0001000000000000000000000000000000000100000
112,1000000000000000000111111111111111111100000
113,0001111000000000000000001110111111001100000
114,1101100000000000001111111111111111111100000
115.26,0001011000000000000000110100000000001100000
115,0001011000000000000000110000000000001100000
116,0001111000000000000000111111111111110000000
117.26,0000111000000000000000110100000000001100000
117,0000111000000000000000110000000000001100000
118,0000000000000000000000000000000000001000000
119,1101100000000000011111111111111111111100000
120,0001101000001110111111111111111111111100000
121,1100000000000000111111111111111111101100000
122,1101101000001110111111111000000000011100000
123,1101101000001110111111111111100001111100000
124,1101101000000110111111111111111011111100000
124.5,0101101000001110111111111111111011111100000
125,1101101000001110111111111000000111011100000
126,1001101000001110111111111000000111111100000
127,1101100000000110111111111000000111111100000
