type,gene,db_xref,start,end,length,strand,product
CDS,dnaA,GI:31791178,1,1524,1525,1,chromosomal replication initiation protein
CDS,dnaN,GI:31791179,2052,3260,1210,1,DNA polymerase III subunit beta
CDS,recF,GI:31791180,3280,4437,1159,1,recombination protein F
CDS,none,GI:31791181,4434,4997,565,1,hypothetical protein
CDS,gyrB,GI:31791182,5123,7267,2146,1,DNA topoisomerase IV subunit B
CDS,gyrA,GI:31791183,7302,9818,2518,1,DNA gyrase subunit A
CDS,none,GI:31791184,9914,10828,916,1,POSSIBLE CONSERVED MEMBRANE PROTEIN
tRNA,ileT,GeneID:1090750,10887,10960,75,1,tRNA-Ile
tRNA,alaT,GeneID:1090752,11112,11184,74,1,tRNA-Ala
CDS,none,GI:31791185,11874,12311,439,-1,POSSIBLE MEMBRANE PROTEIN
CDS,ppiA,GI:31791186,12468,13016,550,1,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)
CDS,none,GI:31791187,13222,13557,337,-1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,none,GI:31791188,13713,13994,283,-1,hypothetical protein
CDS,none,GI:31791189,14088,14876,790,1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,trpG,GI:31791190,14913,15611,700,1,para-aminobenzoate synthase component II
CDS,pknB,GI:31791191,15589,17469,1882,-1,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)
CDS,pknA,GI:31791192,17466,18761,1297,-1,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)
CDS,pbpA,GI:31791193,18758,20233,1477,-1,PROBABLE PENICILLIN-BINDING PROTEIN PBPA
CDS,rodA,GI:31791194,20230,21639,1411,-1,PROBABLE CELL DIVISION PROTEIN RODA
CDS,ppp,GI:31791195,21636,23180,1546,-1,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP
CDS,none,GI:31791196,23269,23736,469,-1,hypothetical protein
CDS,TB39.8,GI:31791197,23860,25425,1567,-1,hypothetical protein
tRNA,leuT,GeneID:1092295,25625,25707,84,1,tRNA-Leu
CDS,none,GI:31791198,25894,26862,970,-1,hypothetical protein
CDS,whiB5,GI:31791199,27004,27423,421,-1,PUTATIVE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5
CDS,none,GI:31791200,27576,28346,772,1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31791201,28343,29176,835,1,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART]
CDS,none,GI:31791202,29225,29587,364,1,hypothetical protein
CDS,none,GI:31791203,29702,31135,1435,1,hypothetical protein
CDS,none,GI:31791204,31173,31490,319,1,hypothetical protein
CDS,none,GI:31791205,31498,31803,307,1,hypothetical protein
CDS,none,GI:31791206,32041,33138,1099,1,hypothetical protein
CDS,none,GI:31791207,33208,33537,331,1,hypothetical protein
CDS,none,GI:31791208,33566,33778,214,1,PUTATIVE REMNANT OF A TRANSPOSASE
CDS,bioF2,GI:31791209,34279,36594,2317,1,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)
CDS,acpA,GI:31791210,36591,36854,265,1,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)
CDS,none,GI:31791211,36851,37246,397,1,hypothetical protein
CDS,fadD34,GI:31791212,37243,38931,1690,1,PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
CDS,none,GI:31791213,39040,39813,775,-1,hypothetical protein
CDS,none,GI:31791214,39861,41186,1327,-1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31791215,41288,41896,610,1,hypothetical protein
CDS,none,GI:31791216,41988,42335,349,-1,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,mtc28,GI:31791217,42417,43349,934,-1,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)
CDS,leuS,GI:31791218,43546,46455,2911,1,leucyl-tRNA synthetase
CDS,none,GI:31791219,46565,47191,628,-1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)
CDS,none,GI:31791220,47350,48084,736,-1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
CDS,none,GI:31791221,48217,49011,796,-1,POSSIBLE OXIDOREDUCTASE
CDS,none,GI:31791222,49027,49923,898,-1,POSSIBLE HYDROLASE
CDS,ino1,GI:31791223,50005,51108,1105,-1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)
CDS,none,GI:31791224,51169,51711,544,-1,hypothetical protein
CDS,none,GI:31791225,51812,52681,871,-1,POSSIBLE MEMBRANE PROTEIN
CDS,none,GI:31791226,52815,53228,415,1,hypothetical protein
CDS,ponA1,GI:31791227,53647,55689,2044,1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)
CDS,none,GI:31791228,55686,57368,1684,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791229,57400,57963,565,1,hypothetical protein
CDS,rpsF,GI:31791230,58182,58472,292,1,30S ribosomal protein S6
CDS,ssb,GI:31791231,58576,59070,496,1,single-strand DNA-binding protein
CDS,rpsR,GI:31791232,59112,59366,256,1,30S ribosomal protein S18
CDS,rplI,GI:31791233,59399,59857,460,1,50S ribosomal protein L9
CDS,none,GI:31791234,59886,60407,523,1,hypothetical protein
CDS,dnaB,GI:31791235,60386,63010,2626,1,replicative DNA helicase
CDS,none,GI:31791236,63190,63882,694,1,hypothetical protein
CDS,none,GI:31791237,63899,64957,1060,1,hypothetical protein
CDS,none,GI:31791238,64981,65406,427,1,hypothetical protein
CDS,celA1,GI:31791239,65542,66684,1144,1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)"
CDS,none,GI:31791240,66913,68352,1441,1,POSSIBLE OXIDOREDUCTASE
CDS,none,GI:31791241,68610,71549,2941,1,hypothetical protein
CDS,none,GI:31791242,71848,72249,403,1,hypothetical protein
CDS,icd2,GI:31791243,72301,74538,2239,-1,PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP)
CDS,none,GI:31791244,74656,75225,571,-1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
CDS,none,GI:31791245,75328,76239,913,1,short chain dehydrogenase
CDS,sdaA,GI:31791246,76264,77649,1387,-1,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD)
CDS,glyA2,GI:31791247,77646,78923,1279,-1,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2)
CDS,none,GI:31791248,79513,80229,718,1,POSSIBLE MATURASE
CDS,none,GI:31791249,80660,81709,1051,1,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER
CDS,none,GI:31791250,81712,82554,844,1,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ
CDS,none,GI:31791251,82783,84018,1237,1,hypothetical protein
CDS,none,GI:31791252,84031,85203,1174,1,PROBABLE AMINOTRANSFERASE
CDS,none,GI:31791253,85218,85607,391,-1,PROBABLE MEMBRANE PROTEIN
CDS,none,GI:31791254,85671,86501,832,-1,PROBABLE OXIDOREDUCTASE
CDS,none,GI:31791255,86563,87168,607,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31791256,87243,87836,595,-1,hypothetical protein
CDS,none,GI:31791257,88239,89060,823,1,hypothetical protein
CDS,none,GI:31791258,89057,89515,460,1,hypothetical protein
CDS,none,GI:31791259,89610,89954,346,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31791260,89959,90438,481,1,PROBABLE OXIDOREDUCTASE
CDS,none,GI:31791261,90435,92363,1930,1,PROBABLE OXIDOREDUCTASE
CDS,hycD,GI:31791262,92363,93313,952,1,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL)
CDS,hycP,GI:31791263,93324,93986,664,1,POSSIBLE HYDROGENASE HYCP
CDS,hycQ,GI:31791264,93986,95452,1468,1,POSSIBLE HYDROGENASE HYCQ
CDS,hycE,GI:31791265,95449,96927,1480,1,POSSIBLE FORMATE HYDROGENASE HYCQ (FHL)
CDS,none,GI:31791266,96962,97636,676,1,hypothetical protein
CDS,none,GI:31791267,97793,98386,595,1,POSSIBLE METHYLTRANSFERASE/METHYLASE
CDS,none,GI:31791268,98515,99285,772,1,POSSIBLE MEMBRANE PROTEIN
CDS,mtn,GI:31791269,99719,100486,769,1,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE
CDS,ctpA,GI:31791270,100618,102903,2287,1,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA
CDS,none,GI:31791271,102850,103698,850,-1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,none,GI:31791272,103745,104698,955,-1,hypothetical protein
CDS,none,GI:31791273,104469,105251,784,-1,hypothetical protein
